CourtLink, which has 160 employees, developed a filing system that enables judges, lawyers and court clerks to process pleadings, motions and other documents electronically over a secure connection.
0	"160 employees"	"be has by"	"CourtLink"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens lawyers As a medium-sized group of American lawyers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens lawyers As a medium-sized group of their companions"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens lawyers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens personnel As a medium-sized group of American judges"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens personnel As a medium-sized group of American lawyers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens personnel As a medium-sized group of their companions"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens personnel"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens storekeepers As a medium-sized group of American judges"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens storekeepers As a medium-sized group of American lawyers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens storekeepers As a medium-sized group of their companions"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens storekeepers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist As a medium-sized group of American judges"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist As a medium-sized group of American lawyers"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist As a medium-sized group of their companions"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist personnel lawyers judges storekeepers and families As a medium-sized group of American lawyers and judges and their companions"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist personnel lawyers judges storekeepers and families"
105	"we"	"were"	"able to interact on a personal basis with a number of Egyptian citizens tourist"
105	"we"	"were"	"able to interact on a personal basis"
105	"we"	"were"	"able"
Trust Company's quest for customers among the new rich, included erroneous figures for millionaire households supplied by PSI, a financial services research firm in Tampa, Fla.
106	"PSI"	"be a financial services research firm in"	"Tampa"
106	"PSI"	"is"	"a financial services research firm"
106	"Trust Company 's quest for customers among the new rich in Tampa Fla."	"be included"	"erroneous figures for millionaire households supplied by PSI"
106	"Trust Company 's quest"	"included"	"erroneous figures"
106	"Trust Company"	"has"	"quest for customers among the new rich included erroneous figures for millionaire households supplied by PSI in Tampa Fla."
106	"millionaire households"	"be supplied by"	"PSI"
106	"millionaire households"	"be supplied"	"by PSI"
106	"the new rich ,"	"included erroneous figures for"	"millionaire households"
In a sobering speech meant to register with opinion leaders in the international community, the Irish Foreign Minister, Dick Spring, has warned about the peril to the peace process if there is further delay.
107	"a sobering speech"	"be meant"	"to register with opinion leaders in the international community"
107	"further delay"	"there is"
107	"the Irish Foreign Minister"	"has warned about"	"the peril"
107	"the Irish Foreign Minister"	"has warned about"	"the peril"	"[enabler=a sobering speech meant to register with opinion leaders in the international community , the Irish Foreign Minister , Dick Spring , has warned about the peril to the peace process if there is further delay]"
107	"the Irish Foreign Minister"	"has warned"	"about the peril In a sobering speech meant to register with opinion leaders in the international community"
107	"the Irish Foreign Minister"	"has warned"	"about the peril if there is further delay"
107	"the Irish Foreign Minister"	"has warned"	"about the peril to the peace process"
107	"the Irish Foreign Minister"	"has warned"	"about the peril"
107	"the Irish Foreign Minister"	"is"	"Dick Spring"
Sharpe said the students were sent to work in the manure, not stand in it.
108	"Sharpe"	"said"	"the students were sent to work in the manure not stand in it"
108	"Sharpe"	"said"	"the students"
108	"the students"	"to work in the manure , not in"	"the manure"
108	"the students"	"were sent to work in"	"the manure"
108	"the students"	"were sent"	"to work not in the manure"
108	"work"	"not stand in"	"it"
Shown today at 2 and 6 p.m. and tomorrow at 4 and 7 p.m. at the Walter Reade Theater at Lincoln Center, 165 West 65th Street, Manhattan, as part of the 32nd New Directors/New Films series of the Film Society of Lincoln Center and the department of film and media of the Museum of Modern Art.
109	"165 West 65th Street"	"be the Walter Reade Theater at"	"Lincoln Center"
109	"Lincoln Center as part"	"is"	"165 West 65th Street"
109	"Lincoln Center as part"	"is"	"Manhattan"
A table in Business Day on Thursday showing the New York Stock Exchange's uncovered short sales, or "short interest," for the four weeks ended June 15 included an incorrect amount for the Tech-Sym Corporation, provided by the company to the exchange, and misstated the total accordingly.
110	"A short interest for the four weeks ended June 15"	"included"	"an incorrect amount for the Tech-Sym Corporation"
110	"A short interest for the four weeks ended June 15"	"included"	"an incorrect amount"
110	"A short interest for the four weeks ended June 15"	"misstated"	"the total accordingly"
110	"A short interest for the four weeks ended June 15"	"misstated"	"the total"
110	"A short interest for the four weeks ended June 15"	"provided"	"by the company to the exchange"
110	"A short interest for the four weeks ended June 15"	"provided"	"by the company"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"included"	"an incorrect amount for the Tech-Sym Corporation"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"included"	"an incorrect amount"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"misstated"	"the total accordingly"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"misstated"	"the total"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"provided"	"by the company to the exchange"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales or short interest for the four weeks ended June 15"	"provided"	"by the company"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"included"	"an incorrect amount for the Tech-Sym Corporation"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"included"	"an incorrect amount"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"misstated"	"the total accordingly"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"misstated"	"the total"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"provided"	"by the company to the exchange"
110	"A table in Business Day on Thursday showing the New York Stock Exchange 's uncovered short sales"	"provided"	"by the company"
110	"A table showing the New York Stock Exchange 's uncovered short sales , or " short interest"	"included"	"an incorrect amount provided by the company to the exchange"
110	"A table showing the New York Stock Exchange 's uncovered short sales , or " short interest"	"misstated"	"the total"
110	"Business Day on Thursday"	"showing"	"the New York Stock Exchange 's uncovered short sales"
110	"June 15"	"included an incorrect amount for"	"the Tech-Sym Corporation"
110	"an incorrect amount"	"be provided by"	"the company"
110	"the New York Stock Exchange"	"has"	"uncovered short sales"
110	"the company"	"misstated"	"the total"
110	"the four weeks"	"be ended in"	"June 15"
110	"the four weeks"	"ended"	"June 15"
"She could easily be seen as someone who tries to help the public with a tax cut when she can, but who is also candid enough to level with folks when the state fiscal situation prevents a tax giveback.
111	"She"	"could be seen"	"as someone easily"
111	"She"	"could be seen"	"as someone"
111	"She"	"could easily be seen as"	"someone who tries to help the public with a tax cut when she can , but who is also candid enough to level with folks when the state fiscal situation prevents a tax giveback"
111	"She"	"could easily be seen as"	"someone"
111	"she"	"can"
111	"she"	"can"	"when"
111	"someone"	"tries to help"	"the public"
111	"someone"	"tries"	"to help the public with a tax cut"
111	"someone"	"tries"	"to help the public"
111	"the public"	"to be help with"	"a tax cut"
111	"the state fiscal situation"	"prevents"	"a tax giveback when"
111	"the state fiscal situation"	"prevents"	"a tax giveback"
111	"who"	"is"	"candid also to level with folks when the state fiscal situation prevents a tax giveback"
111	"who"	"is"	"candid also to level with folks"
111	"who"	"is"	"candid enough to level with folks when the state fiscal situation prevents a tax giveback"
111	"who"	"is"	"candid enough to level with folks"
111	"who"	"is"	"candid to level with folks when the state fiscal situation prevents a tax giveback"
111	"who"	"is"	"candid to level with folks"
Just before this season began, the baseball commissioner's office suspended him for violating the terms of his after-care program for substance abuse.
112	"his"	"has"	"after-care program for substance abuse"
112	"the baseball commissioner 's office"	"suspended"	"him Just before this season began"
112	"the baseball commissioner 's office"	"suspended"	"him for violating the terms of his after-care program for substance abuse"
112	"the baseball commissioner 's office"	"suspended"	"him"
112	"the baseball commissioner"	"has"	"office"
112	"this season"	"began"
112	"this season"	"began"	"Just"
The songs are driven by short melodic riffs, call-and-response with her backup singers, the combination of djembe (hand drum) and metal scraper and the plunk of the kamalngoni, a harp similar to the kora played by griots.
113	"The songs"	"are driven by"	"short melodic riffs"
113	"The songs"	"are driven call-and-response with her backup singers by"	"short melodic riffs"
113	"The songs"	"are driven"	"by call-and-response with her backup singers"
113	"The songs"	"are driven"	"by metal scraper"
113	"The songs"	"are driven"	"by short melodic riffs call-and-response with her backup singers the combination of djembe hand drum and metal scraper and the plunk of the kamalngoni"
113	"The songs"	"are driven"	"by short melodic riffs"
113	"The songs"	"are driven"	"by the combination of djembe hand drum"
113	"The songs"	"are driven"	"by the plunk of the kamalngoni"
113	"The songs"	"are driven"	"call-and-response"
113	"hand drum"	"be the plunk of"	"the kamalngoni"
113	"her"	"has"	"backup singers"
113	"the kamalngoni"	"is"	"a harp similar to the kora played by griots"
113	"the kora"	"be played by"	"griots"
113	"the kora"	"be played"	"by griots"
Two batters later, Edgardo Alfonzo rapped a two-run double down the third-base line for a 3-0 lead, and Hundley later launched a double to the left-center warning track to make it 4-0.
114	"Edgardo Alfonzo"	"Two batters later rapped"	"a two-run double"
114	"Edgardo Alfonzo"	"later launched"	"a double"
114	"Edgardo Alfonzo"	"rapped"	"a two-run double Two batters later"
114	"Edgardo Alfonzo"	"rapped"	"a two-run double down the third-base line"
114	"Edgardo Alfonzo"	"rapped"	"a two-run double for a 3-0 lead"
114	"Edgardo Alfonzo"	"rapped"	"a two-run double"
114	"Hundley"	"Two batters later rapped"	"a two-run double"
114	"Hundley"	"later launched"	"a double"
114	"Hundley"	"launched"	"a double to the left-center warning track to make it 4-0 later"
114	"Hundley"	"launched"	"a double to the left-center warning track to make it 4-0"
Tests to detect the use of performance-enhancing drugs like EPO and human-growth hormones are unlikely to be approved for Sydney.
115	"Tests to detect the use of performance-enhancing drugs like EPO and human-growth hormones"	"are"	"unlikely to be approved for Sydney"
115	"Tests to detect the use of performance-enhancing drugs like EPO"	"are"	"unlikely to be approved for Sydney"
115	"Tests to detect the use of performance-enhancing drugs like human-growth hormones"	"are"	"unlikely to be approved for Sydney"
Farrow is trying in Manhattan's Surrogate's Court to void Mr. Allen's adoptions of Moses and Dylan.
116	"Farrow"	"is trying in"	"Manhattan 's Surrogate 's Court"
116	"Farrow"	"is trying to void"	"Mr. Allen 's adoptions of Moses"
116	"Farrow"	"is trying"	"in Manhattan 's Surrogate 's Court to void Mr. Allen 's adoptions of Dylan"
116	"Farrow"	"is trying"	"in Manhattan 's Surrogate 's Court to void Mr. Allen 's adoptions of Moses and Dylan"
116	"Farrow"	"is trying"	"in Manhattan 's Surrogate 's Court to void Mr. Allen 's adoptions of Moses"
116	"Farrow"	"is trying"	"to void Mr. Allen 's adoptions of Dylan"
116	"Farrow"	"is trying"	"to void Mr. Allen 's adoptions of Moses and Dylan"
116	"Farrow"	"is trying"	"to void Mr. Allen 's adoptions of Moses"
116	"Farrow"	"to void"	"Mr. Allen 's adoptions of Moses"
116	"Manhattan"	"has"	"Surrogate 's Court"
116	"Mr. Allen"	"has"	"adoptions of Dylan"
116	"Mr. Allen"	"has"	"adoptions of Moses and Dylan"
116	"Mr. Allen"	"has"	"adoptions of Moses"
116	"Surrogate"	"has"	"Manhattan 's Court"
Mexican reporters staked out meetings of the board of Dow Jones & Company, where Mr. Salinas is a member, but caught just a brief glimpse of him on the 43d floor of the World Trade Center.
117	"Mexican reporters"	"caught"	"just a brief glimpse of him on the 43d floor of the World Trade Center"
117	"Mexican reporters"	"staked out"	"meetings of the board of Dow Jones & Company where Mr. Salinas is a member"
117	"Mexican reporters"	"staked out"	"meetings of the board of Dow Jones & Company"
117	"Mexican reporters"	"staked out"	"meetings of the board of Dow Jones"
117	"Mr. Salinas"	"is"	"a member where"
117	"Mr. Salinas"	"is"	"a member"
117	"a member"	"caught just a brief glimpse of"	"him"
In October, the university's Electronic Music Center will put the finishing touches on an ambitious surround-sound speaker installation.
118	"Center"	"will put the finishing touches on"	"an ambitious surround-sound speaker installation"
118	"Center"	"will put"	"the finishing touches"
118	"the finishing touches"	"will be put on"	"an ambitious surround-sound speaker installation"
118	"the university 's Electronic Music Center"	"will put the finishing touches on"	"an ambitious surround-sound speaker installation"
118	"the university 's Electronic Music Center"	"will put"	"the finishing touches on an ambitious surround-sound speaker installation In October"
118	"the university 's Electronic Music Center"	"will put"	"the finishing touches on an ambitious surround-sound speaker installation"
118	"the university"	"has"	"Electronic Music Center"
Addictions should not be called habits, Dr. Cahan said.
119	"Addictions"	"should not be called"	"habits"
119	"Addictions"	"should not be called"	"habits"	"[attrib=Dr. Cahan said]"
119	"Dr. Cahan"	"said"	"Addictions should not be called habits"
The International Business Machines Corporation said it signed an agreement to provide more than $100 million worth of computer hardware and software to what will be the world's largest computerized travel reservation system.
120	"The International Business Machines Corporation"	"said"	"it signed an agreement to provide more than $ 100 million worth of computer hardware and software to what will be the world 's largest computerized travel reservation system"
120	"The International Business Machines Corporation"	"said"	"it signed an agreement to provide more than $ 100 million worth of computer hardware to what will be the world 's largest computerized travel reservation system"
120	"The International Business Machines Corporation"	"said"	"it signed an agreement to provide more than $ 100 million worth of computer software to what will be the world 's largest computerized travel reservation system"
120	"The International Business Machines Corporation"	"said"	"it"
120	"it"	"signed"	"an agreement to provide more than $ 100 million worth of computer hardware and software to what will be the world 's largest computerized travel reservation system"
120	"it"	"signed"	"an agreement to provide more than $ 100 million worth of computer hardware and software to what will be the world 's largest computerized travel reservation system"	"[attrib=The International Business Machines Corporation said]"
120	"it"	"signed"	"an agreement to provide more than $ 100 million worth of computer hardware to what will be the world 's largest computerized travel reservation system"
120	"it"	"signed"	"an agreement to provide more than $ 100 million worth of computer software to what will be the world 's largest computerized travel reservation system"
120	"it"	"signed"	"an agreement"
120	"more than $ 100 million worth of computer hardware and software"	"will be"	"the world 's largest computerized travel reservation system"
120	"the world"	"has"	"largest computerized travel reservation system"
120	"what"	"will be"	"the world 's largest computerized travel reservation system"
The director of the Center for Mathematical Sciences Research at Rutgers University, Dr. Joel Lebowitz, will receive the Dalmar S. Fahrney Medal from the Franklin Institute in Philadelphia in May.
121	"Rutgers University"	"is"	"Dr. Joel Lebowitz"
121	"Rutgers University"	"will receive"	"the Dalmar S. Fahrney Medal"
121	"The director of the Center for Mathematical Sciences Research at Rutgers University"	"will receive"	"the Dalmar S. Fahrney Medal from the Franklin Institute in May"
121	"The director of the Center for Mathematical Sciences Research at Rutgers University"	"will receive"	"the Dalmar S. Fahrney Medal from the Franklin Institute in Philadelphia"
121	"The director of the Center for Mathematical Sciences Research at Rutgers University"	"will receive"	"the Dalmar S. Fahrney Medal from the Franklin Institute"
121	"The director of the Center"	"will receive the Dalmar S. Fahrney Medal from"	"the Franklin Institute"
121	"The director of the Center"	"will receive"	"the Dalmar S. Fahrney Medal"
121	"the Dalmar S. Fahrney Medal"	"will be receive from"	"the Franklin Institute"
Two independent journalists went on trial today accused of defaming President Franjo Tudjman in a case that has helped sour Croatia's relations with Western Europe.
122	"President Franjo Tudjman"	"be defaming in"	"a case that has helped sour Croatia 's relations with Western Europe"
122	"Two independent journalists"	"went accused defaming President Franjo Tudjman a case that has helped sour Croatia 's relations Western Europe in"	"today"
122	"Two independent journalists"	"went accused defaming President Franjo Tudjman a case that has helped sour Croatia 's relations Western Europe on"	"trial"
122	"Two independent journalists"	"went on"	"trial today"
122	"Two independent journalists"	"went"	"on trial today accused of defaming President Franjo Tudjman in a case"
122	"a case"	"has helped"	"sour Croatia 's relations with Western Europe"
122	"a case"	"has helped"	"sour Croatia 's relations"
122	"sour Croatia"	"has"	"relations"
122	"trial today"	"be accused"	"of defaming President Franjo Tudjman in a case"
The chief executive, Sir Colin Marshall, will take a similar cut, putting his pay at around $540,000.
123	"The chief executive"	"be putting"	"his pay at around $ 540,000"
123	"The chief executive"	"is"	"Sir Colin Marshall"
123	"The chief executive"	"will take a similar cut putting"	"his pay"
123	"The chief executive"	"will take"	"a similar cut putting his pay at around $ 540,000"
123	"The chief executive"	"will take"	"a similar cut"
123	"his"	"has"	"pay"
Annually, some 600 miles of municipal roads are expected to deteriorate.
124	"some 600 miles of municipal roads"	"are expected"	"to deteriorate Annually"
124	"some 600 miles of municipal roads"	"are expected"	"to deteriorate"
Rather than resort to the usual bunker mentality, he tried a more practical approach.
125	"he"	"tried"	"a more practical approach Rather than resort to the usual bunker mentality"
125	"he"	"tried"	"a more practical approach"
125	"he"	"tried"	"a more practical approach"	"[enabler=Rather than resort to the usual bunker mentality]"
So far, Mr. Ginty has elicited praise from conservatives like Steven Lonegan, who ran for governor last year.
126	"Mr. Ginty"	"So far has elicited praise from"	"conservatives"
126	"Mr. Ginty"	"So far has elicited"	"praise"
126	"Mr. Ginty"	"has elicited"	"praise So far"
126	"Mr. Ginty"	"has elicited"	"praise from conservatives like Steven Lonegan"
126	"Mr. Ginty"	"has elicited"	"praise"
126	"Steven Lonegan"	"ran for"	"governor"
126	"Steven Lonegan"	"ran"	"for governor last year"
126	"Steven Lonegan"	"ran"	"for governor"
The club is tearing up the turf field and replacing it with grass.
127	"The club"	"is replacing"	"it with grass"
127	"The club"	"is replacing"	"it"
127	"The club"	"is tearing up"	"the turf field"
127	"The club"	"replacing it with"	"grass"
127	"The club"	"replacing"	"it"
127	"it"	"be replacing with"	"grass"
He plans to give the diploma to his mother, to hang in their Brooklyn home.
128	"He"	"plans to give the diploma to"	"his mother"
128	"He"	"plans to give"	"the diploma"
128	"He"	"plans"	"to give the diploma to hang in their Brooklyn home"
128	"He"	"plans"	"to give the diploma to his mother to hang in their Brooklyn home"
128	"He"	"to give the diploma to"	"his mother"
128	"his"	"has"	"mother"
128	"the diploma"	"to give to be"	"his mother"
128	"their"	"has"	"Brooklyn home"
I have also learned that lice plan their arrival to maximize household stress.
129	"I"	"have learned"	"that lice plan their arrival to maximize household stress also"
129	"I"	"have learned"	"that lice plan their arrival to maximize household stress"
129	"lice"	"plan"	"their arrival to maximize household stress"
129	"lice"	"plan"	"their arrival"
129	"their"	"has"	"arrival to maximize household stress"
Mr. Riley's numbers did not change.
130	"Mr. Riley 's numbers"	"did not change"
130	"Mr. Riley"	"has"	"numbers"
Miss Collins is immutably Miss Collins.
131	"Miss Collins"	"is immutably"	"Miss Collins"
131	"Miss Collins"	"is"	"Miss Collins immutably"
131	"Miss Collins"	"is"	"Miss Collins"
IT was graduation night at the Ophelia DeVore School of Charm.
132	"IT"	"was graduation night at"	"the Ophelia DeVore School of Charm"
132	"IT"	"was"	"graduation night at the Ophelia DeVore School of Charm"
132	"IT"	"was"	"graduation night"
The market wants to do better, said Gregory Bundy, head of equity trading at Merrill Lynch Japan Inc.
133	"Gregory Bundy"	"be head of equity trading at"	"Merrill Lynch Japan Inc."
133	"Gregory Bundy"	"be head of"	"equity trading"
133	"Gregory Bundy"	"is"	"head of equity trading at Merrill Lynch Japan Inc."
133	"Gregory Bundy"	"said"	"The market wants to do better"
133	"The market"	"said"	"Gregory Bundy"
133	"The market"	"wants"	"to do better"
Last month we saw an American patient who had been to five gynecologists before the last one said there is this procedure and referred her to us.
134	"an American patient"	"had been to"	"five gynecologists"
134	"an American patient"	"had been"	"to five gynecologists before the last one said there is this procedure"
134	"an American patient"	"had been"	"to five gynecologists"
134	"her"	"be referred to"	"us"
134	"the last one"	"said there is"	"this procedure"
134	"the last one"	"said"	"there is this procedure"
134	"there is"	"referred"	"her"
134	"this procedure"	"there is"
134	"we"	"referred"	"her Last month"
134	"we"	"referred"	"her to us"
134	"we"	"referred"	"her"
134	"we"	"saw in"	"Last month"
134	"we"	"saw"	"an American patient Last month"
134	"we"	"saw"	"an American patient who had been to five gynecologists before the last one"
134	"we"	"saw"	"an American patient"
A senior American diplomat added, "We couldn't tolerate a treaty ally buying a Russian jet."
135	"A senior American diplomat"	"added"	"We could n't tolerate a treaty ally buying a Russian jet"
135	"We"	"could n't tolerate"	"a treaty ally buying a Russian jet"
135	"We"	"could n't tolerate"	"a treaty ally buying a Russian jet"	"[attrib=A senior American diplomat added]"
135	"We"	"could n't tolerate"	"a treaty ally"
Bonilla gave chase, but hesitated as he reached the wall, allowing the ball to drop.
136	"Bonilla"	"gave"	"chase"
136	"Bonilla"	"hesitated"	"as he reached the wall allowing the ball to drop"
136	"chase"	"hesitated as"	"he"
136	"he"	"be allowing"	"the ball to drop"
136	"he"	"reached"	"the wall allowing the ball to drop"
136	"he"	"reached"	"the wall"
A day after strong winds stirred up the Hauraki Gulf and broke the mast of Team New Zealand, a lack of wind caused Race 5 of the America's Cup to be abandoned today.
137	"Race 5 of the America 's Cup"	"caused to be abandoned in"	"today"
137	"a lack of wind"	"caused to be abandoned in"	"today"
137	"a lack of wind"	"caused"	"Race 5 of the America 's Cup to be abandoned today A day after strong winds broke the mast of Team New Zealand"
137	"a lack of wind"	"caused"	"Race 5 of the America 's Cup to be abandoned today A day after strong winds stirred up the Hauraki Gulf and broke the mast of Team New Zealand"
137	"a lack of wind"	"caused"	"Race 5 of the America 's Cup to be abandoned today A day after strong winds stirred up the Hauraki Gulf"
137	"a lack of wind"	"caused"	"Race 5 of the America 's Cup to be abandoned today"
137	"a lack of wind"	"caused"	"Race 5 of the America 's Cup"
137	"strong winds"	"broke"	"the mast of Team New Zealand"
137	"strong winds"	"stirred up"	"the Hauraki Gulf"
137	"the America"	"has"	"Cup to be abandoned today"
Reno's supporters said today's decision demonstrated her willingness to go outside the Justice Department to investigate a high-ranking Clinton official when the facts justified it.
138	"Reno 's supporters"	"said"	"today 's decision demonstrated her willingness to go outside the Justice Department to investigate a high-ranking Clinton official when the facts justified it"
138	"Reno 's supporters"	"said"	"today 's decision"
138	"Reno"	"has"	"supporters"
138	"her"	"has"	"willingness to go outside the Justice Department to investigate a high-ranking Clinton official when the facts justified it"
138	"it"	"to be go outside"	"the Justice Department"	"[enabler=when the facts justified]"
138	"the facts"	"justified"	"it when"
138	"the facts"	"justified"	"it"
138	"today 's decision"	"demonstrated"	"her willingness to go outside the Justice Department to investigate a high-ranking Clinton official when the facts justified it"
138	"today 's decision"	"demonstrated"	"her willingness to go outside the Justice Department to investigate a high-ranking Clinton official when the facts justified it"	"[attrib=Reno 's supporters said]"
138	"today 's decision"	"demonstrated"	"her willingness"
138	"today"	"has"	"decision"
The Xbox looks better (next to a TV set).
139	"The Xbox"	"looks"	"better next to a TV set"
Mr. Lemelson was an independent inventor who was granted more than 500 patents during his lifetime and whose estate continues to receive patents based on applications he submitted before he died five years ago.
140	"Mr. Lemelson"	"was"	"an independent inventor and"
140	"Mr. Lemelson"	"was"	"an independent inventor who was granted more than 500 patents during his lifetime and whose estate continues to receive patents"
140	"Mr. Lemelson"	"was"	"an independent inventor"
140	"an independent inventor and whose estate continues to receive patents based on applications"	"was granted"	"more than 500 patents during his lifetime"
140	"an independent inventor and whose estate continues to receive patents based on applications"	"was granted"	"more than 500 patents"
140	"an independent inventor"	"was granted more than"	"500 patents"
140	"an independent inventor"	"was granted"	"more than 500 patents during his lifetime"
140	"an independent inventor"	"was granted"	"more than 500 patents"
140	"estate"	"continues"	"to receive patents based on applications"
140	"estate"	"continues"	"to receive patents"
140	"he"	"died"
140	"he"	"died"	"five years ago"
140	"he"	"died"	"five years"
140	"he"	"submitted before"	"he"
140	"he"	"submitted"	"applications"
140	"he"	"submitted"	"before he died five years ago applications"
140	"his lifetime"	"continues to receive"	"patents"
140	"his"	"has"	"lifetime"
140	"patents"	"be based on"	"applications he submitted before he died five years ago"
140	"whose estate continues to receive patents based on applications"	"was granted"	"more than 500 patents during his lifetime"
140	"whose estate continues to receive patents based on applications"	"was granted"	"more than 500 patents"
140	"whose estate"	"continues to receive"	"patents based on applications"
He was John Dickinson, not Dickenson.
141	"He"	"was not"	"John Dickinson Dickenson"
141	"He"	"was"	"John Dickinson , not"
141	"He"	"was"	"John Dickinson"
Every gray leather seat is taken.
142	"Every gray leather seat"	"is taken"
Then he elevates himself off the ground to escape the ball that becomes a game-tying wild pitch.
143	"he"	"Then elevates himself off"	"the ground to escape the ball"
143	"he"	"Then elevates off the ground to escape the ball that becomes a game-tying wild pitch"	"himself"
143	"he"	"elevates"	"himself off the ground to escape the ball"
143	"he"	"elevates"	"himself"
143	"the ball"	"becomes"	"a game-tying wild pitch"
The Federal Home Loan Bank Board last week provided reassurances to securities dealers holding certain futures and options contracts with the American Savings and Loan Association, the nation's largest savings institution.
144	"Loan Association"	"is"	"the nation 's largest savings institution"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding certain futures and options contracts with the American Savings and Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding certain futures and options contracts"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding certain futures with Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding certain futures with the American Savings"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding certain futures"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding options contracts with Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding options contracts with the American Savings"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances holding options contracts"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding certain futures and options contracts with the American Savings and Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding certain futures and options contracts"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding certain futures with Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding certain futures with the American Savings"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding certain futures"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding options contracts with Loan Association"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding options contracts with the American Savings"
144	"The Federal Home Loan Bank Board"	"last week provided"	"reassurances to securities dealers holding options contracts"
144	"The Federal Home Loan Bank Board"	"provided reassurances to"	"securities dealers holding certain futures and options contracts with the American Savings and Loan Association , the nation 's largest savings institution"
144	"The Federal Home Loan Bank Board"	"provided"	"reassurances"
144	"certain futures and options contracts"	"be holding with"	"the American Savings and Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding certain futures and options contracts with the American Savings and Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding certain futures and options contracts"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding certain futures with Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding certain futures with the American Savings"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding certain futures"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding options contracts with Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding options contracts with the American Savings"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances holding options contracts"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances to securities dealers holding certain futures and options contracts with the American Savings and Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances to securities dealers holding certain futures and options contracts"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances to securities dealers holding certain futures with Loan Association"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances to securities dealers holding certain futures with the American Savings"
144	"last week"	"The Federal Home Loan Bank Board provided"	"reassurances to securities dealers holding certain futures"
